MOVIES,YEAR,GENRE,RATING,ONE-LINE,VOTES,RunTime,Gross,Extract_date,owner_company,nr_of_episodes,DIRECTOR,STARS-LIST
,,,,,,,,2020-01-01 20:33:04.151389710,   Walt Disney Pictures	,9.0,,
,,,,,,,,2020-01-01 20:58:45.487876995, Legendary Entertainment	,68.0,,
,,,,,,,,2020-01-01 21:24:26.824364281,	Warner Bros.  ,50.0,,
,,,,,,,,2020-01-01 21:50:08.160851567,  Paramount Pictures,64.0,,
,,,,,,,,2020-01-01 22:15:49.497338852,Marvel Studios,124.0,,
,,,,,,,,2020-01-01 22:41:30.833826138,Relativity Media,120.0,,
,,,,,,,,2020-01-01 23:07:12.170313424,Relativity Media,83.0,,
,,,,,,,,2020-01-01 23:32:53.506800709,  Paramount Pictures,111.0,,
,,,,,,,,2020-01-01 23:58:34.843287995,Universal Pictures	,2.0,,
,,,,,,,,2020-01-02 00:24:16.179775280, Legendary Entertainment	,42.0,,
,,,,,,,,2020-01-02 00:49:57.516262566,Universal Pictures	,19.0,,
Sex/Life,(2021– ),"
Comedy, Drama, Romance            ",5.4,"
A suburban mother of two takes a fantasy-charged trip down memory lane that sets her very married present on a collision course with her wild-child past.","12,172",,,2020-01-02 01:15:38.852749852,Universal Pictures	,28.0,,"Stars:
Sarah Shahi, 
Mike Vogel, 
Adam Demos, 
Margaret Odette"
American Horror Story,(2011– ),"
Drama, Horror, Thriller            ",8.0,"
An anthology series centering on different characters and locations, including a house with a murderous past, an insane asylum, a witch coven, a freak show circus, a haunted hotel, a possessed farmhouse, a cult, the apocalypse, and a slasher summer camp.","286,488",60.0,,2020-01-02 01:41:20.189237137,Marvel Studios,112.0,,"Stars:
Lady Gaga, 
Kathy Bates, 
Angela Bassett, 
Sarah Paulson"
Grey's Anatomy,(2005– ),"
Drama, Romance            ",7.5,"
A drama centered on the personal and professional lives of five surgical interns and their supervisors.","266,258",41.0,,2020-01-02 02:07:01.525724423, Legendary Entertainment	,122.0,,"Stars:
Ellen Pompeo, 
Chandra Wilson, 
James Pickens Jr., 
Justin Chambers"
Breaking Bad,(2008–2013),"
Crime, Drama, Thriller            ",9.4,"
A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.","1,552,311",49.0,,2020-01-02 02:32:42.862211709,Marvel Studios,38.0,,"Stars:
Bryan Cranston, 
Aaron Paul, 
Anna Gunn, 
Betsy Brandt"
The Good Doctor,(2017– ),"
Drama            ",8.1,"
Shaun Murphy, a young surgeon with autism and Savant syndrome, is recruited into the surgical unit of a prestigious hospital.","70,871",41.0,,2020-01-02 02:58:24.198698994,Universal Pictures	,89.0,,"Stars:
Freddie Highmore, 
Hill Harper, 
Richard Schiff, 
Antonia Thomas"
Atypical,(2017–2021),"
Comedy, Drama            ",8.3,"
Sam, an 18-year-old on the autism spectrum, decides it's time to find a girlfriend, a journey that sets Sam's mom on her own life-changing path as her son seeks more independence.","71,544",30.0,,2020-01-02 03:24:05.535186280,20th Century Fox	,2.0,,"Stars:
Jennifer Jason Leigh, 
Keir Gilchrist, 
Brigette Lundy-Paine, 
Michael Rapaport"
Stranger Things,(2016– ),"
Drama, Fantasy, Horror            ",8.7,"
When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.","885,856",51.0,,2020-01-02 03:49:46.871673565,Universal Pictures	,38.0,,"Stars:
Millie Bobby Brown, 
Finn Wolfhard, 
Winona Ryder, 
David Harbour"
Fear Street: 1978,(2021),"
Drama, Horror, Mystery            ",6.8,"
Shadyside, 1978. School's out for summer and the activities at Camp Nightwing are about to begin. But when another Shadysider is possessed with the urge to kill, the fun in the sun becomes a gruesome fight for survival.","36,634",109.0,,2020-01-02 04:15:28.208160851,Universal Pictures	,145.0,"Director:
Leigh Janiak",
Friends,(1994–2004),"
Comedy, Romance            ",8.9,"
Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.","880,918",22.0,,2020-01-02 04:41:09.544648137,Relativity Media,51.0,,"Stars:
Jennifer Aniston, 
Courteney Cox, 
Lisa Kudrow, 
Matt LeBlanc"
The Flash,(2014– ),"
Action, Adventure, Drama            ",7.6,"
After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the next Flash, fighting crime in Central City.","320,264",43.0,,2020-01-02 05:06:50.881135422,20th Century Fox	,117.0,,"Stars:
Grant Gustin, 
Candice Patton, 
Danielle Panabaker, 
Carlos Valdes"
Peaky Blinders,(2013– ),"
Crime, Drama            ",8.8,"
A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.","393,414",60.0,,2020-01-02 05:32:32.217622708,Relativity Media,91.0,,"Stars:
Cillian Murphy, 
Paul Anderson, 
Helen McCrory, 
Sophie Rundle"
He-Man and the Masters of the Universe,(2021– ),"
Animation, Action, Adventure            ",,"
Eternia's Prince Adam discovers the power of Grayskull and transforms into He-Man, Master of the Universe. A reimagining of the classic animated series.",,,,2020-01-02 05:58:13.554109994,  Columbia Pictures	,39.0,,
Chernobyl,(2021),"
Drama, History, Romance            ",5.0,"
A story about a heroic fireman who worked as one of Chernobyl liquidators.","4,681",136.0,,2020-01-02 06:23:54.890597279,Marvel Studios,47.0,"Director:
Danila Kozlovskiy",
Vikings,(2013–2020),"
Action, Adventure, Drama            ",8.5,"
Vikings transports us to the brutal and mysterious world of Ragnar Lothbrok, a Viking warrior and farmer who yearns to explore - and raid - the distant shores across the ocean.","459,913",44.0,,2020-01-02 06:49:36.227084565,    RatPac-Dune Entertainment	,13.0,,"Stars:
Katheryn Winnick, 
Gustaf Skarsgård, 
Alexander Ludwig, 
Georgia Hirst"
Better Call Saul,(2015– ),"
Crime, Drama            ",8.8,"
The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico.","347,857",46.0,,2020-01-02 07:15:17.563571850,	Warner Bros.  ,105.0,,"Stars:
Bob Odenkirk, 
Rhea Seehorn, 
Jonathan Banks, 
Patrick Fabian"
Supernatural,(2005–2020),"
Drama, Fantasy, Horror            ",8.4,"
Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons and gods that roam the earth.","404,273",44.0,,2020-01-02 07:40:58.900059136, Legendary Entertainment	,104.0,,"Stars:
Jared Padalecki, 
Jensen Ackles, 
Jim Beaver, 
Misha Collins"
The Blacklist,(2013– ),"
Crime, Drama, Mystery            ",8.0,"
A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.","213,522",43.0,,2020-01-02 08:06:40.236546422,    RatPac-Dune Entertainment	,98.0,,"Stars:
James Spader, 
Megan Boone, 
Diego Klattenhoff, 
Ryan Eggold"
Fear Street: 1666,(2021),"
Horror, Mystery            ",6.7,"
The origins of Sarah Fier's curse are finally revealed as history comes full circle on a night that changes the lives of Shadysiders forever.","27,447",114.0,,2020-01-02 08:32:21.573033707,Marvel Studios,115.0,"Director:
Leigh Janiak",
Animal Kingdom,(2016– ),"
Crime, Drama            ",8.2,"
Centers on a Southern California family, whose excessive lifestyle is fueled by their criminal activities.","26,926",60.0,,2020-01-02 08:58:02.909520993,Universal Pictures	,50.0,,"Stars:
Shawn Hatosy, 
Ben Robson, 
Jake Weary, 
Finn Cole"
Brooklyn Nine-Nine,(2013–2022),"
Comedy, Crime            ",8.4,"
Comedy series following the exploits of Det. Jake Peralta and his diverse, lovable colleagues as they police the NYPD's 99th Precinct.","248,583",22.0,,2020-01-02 09:23:44.246008279,   Walt Disney Pictures	,23.0,,"Stars:
Andy Samberg, 
Stephanie Beatriz, 
Terry Crews, 
Melissa Fumero"
NCIS: Naval Criminal Investigative Service,(2003– ),"
Action, Crime, Drama            ",7.7,"
The cases of the Naval Criminal Investigative Service's Washington, D.C. Major Case Response Team, led by Special Agent Leroy Jethro Gibbs.","125,619",60.0,,2020-01-02 09:49:25.582495564,Universal Pictures	,35.0,,"Stars:
Mark Harmon, 
David McCallum, 
Sean Murray, 
Pauley Perrette"
Kingdom,(2019– ),"
Action, Drama, History            ",8.4,"
While strange rumors about their ill King grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land.","34,906",45.0,,2020-01-02 10:15:06.918982850,Marvel Studios,55.0,,"Stars:
Ju Ji-Hoon, 
Bae Doona, 
Kim Sungkyu, 
Hye-jun Kim"
Modern Family,(2009–2020),"
Comedy, Drama, Romance            ",8.4,"
Three different but related families face trials and tribulations in their own uniquely comedic ways.","378,030",22.0,,2020-01-02 10:40:48.255470136,    RatPac-Dune Entertainment	,56.0,,"Stars:
Ed O'Neill, 
Sofía Vergara, 
Julie Bowen, 
Ty Burrell"
Titans,(I) (2018– ),"
Action, Adventure, Crime            ",7.7,"
A team of young superheroes combat evil and other perils.","73,656",45.0,,2020-01-02 11:06:29.591957421,	Warner Bros.  ,113.0,,"Stars:
Brenton Thwaites, 
Teagan Croft, 
Anna Diop, 
Ryan Potter"
The Witcher,(2019– ),"
Action, Adventure, Fantasy            ",8.2,"
Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.","336,484",60.0,,2020-01-02 11:32:10.928444707,  Paramount Pictures,139.0,,"Stars:
Henry Cavill, 
Anna Shaffer, 
Freya Allan, 
Adjoa Andoh"
Downton Abbey,(2010–2015),"
Drama, Romance            ",8.7,"
A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.","171,804",58.0,,2020-01-02 11:57:52.264931992,  Columbia Pictures	,39.0,,"Stars:
Hugh Bonneville, 
Phyllis Logan, 
Elizabeth McGovern, 
Brendan Coyle"
Shingeki no kyojin,(2013–2022),"
Animation, Action, Adventure            ",9.0,"
After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.","242,582",24.0,,2020-01-02 12:23:33.601419278,  Columbia Pictures	,42.0,,"Stars:
Yûki Kaji, 
Marina Inoue, 
Josh Grelle, 
Yui Ishikawa"
Suits,(2011–2019),"
Comedy, Drama            ",8.4,"
On the run from a drug deal gone bad, brilliant college dropout Mike Ross finds himself working with Harvey Specter, one of New York City's best lawyers.","374,263",44.0,,2020-01-02 12:49:14.937906564,	Warner Bros.  ,12.0,,"Stars:
Gabriel Macht, 
Patrick J. Adams, 
Meghan Markle, 
Sarah Rafferty"
La casa de papel,(2017–2021),"
Action, Crime, Mystery            ",8.3,"
An unusual group of robbers attempt to carry out the most perfect robbery in Spanish history - stealing 2.4 billion euros from the Royal Mint of Spain.","341,858",70.0,,2020-01-02 13:14:56.274393849,Marvel Studios,85.0,,"Stars:
Úrsula Corberó, 
Álvaro Morte, 
Itziar Ituño, 
Pedro Alonso"
Schitt's Creek,(2015–2020),"
Comedy            ",8.5,"
When rich video-store magnate Johnny Rose and his family suddenly find themselves broke, they are forced to leave their pampered lives to regroup in Schitt's Creek.","90,728",22.0,,2020-01-02 13:40:37.610881135,20th Century Fox	,125.0,,"Stars:
Eugene Levy, 
Catherine O'Hara, 
Dan Levy, 
Annie Murphy"
Outlander,(2014– ),"
Drama, Fantasy, Romance            ",8.4,"
An English combat nurse from 1945 is mysteriously swept back in time to 1743.","134,991",64.0,,2020-01-02 14:06:18.947368421, Legendary Entertainment	,138.0,,"Stars:
Caitriona Balfe, 
Sam Heughan, 
Duncan Lacroix, 
Sophie Skelton"
The Last Kingdom,(2015– ),"
Action, Drama, History            ",8.4,"
As Alfred the Great defends his kingdom from Norse invaders, Uhtred - born a Saxon but raised by Vikings - seeks to claim his ancestral birthright.","94,650",60.0,,2020-01-02 14:32:00.283855706,    RatPac-Dune Entertainment	,4.0,,"Stars:
Alexander Dreymon, 
Eliza Butterworth, 
Arnas Fedaravicius, 
Millie Brady"
Black Mirror,(2011– ),"
Drama, Sci-Fi, Thriller            ",8.8,"
An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.","469,407",60.0,,2020-01-02 14:57:41.620342992,20th Century Fox	,105.0,,"Stars:
Daniel Lapaine, 
Hannah John-Kamen, 
Michaela Coel, 
Beatrice Robertson-Jones"
Ozark,(2017– ),"
Crime, Drama, Thriller            ",8.4,"
A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss.","206,090",60.0,,2020-01-02 15:23:22.956830277,    RatPac-Dune Entertainment	,137.0,,"Stars:
Jason Bateman, 
Laura Linney, 
Sofia Hublitz, 
Skylar Gaertner"
The Crown,(2016– ),"
Biography, Drama, History            ",8.6,"
Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.","169,517",58.0,,2020-01-02 15:49:04.293317563,	Warner Bros.  ,22.0,,"Stars:
Claire Foy, 
Olivia Colman, 
Imelda Staunton, 
Matt Smith"
Sweet Tooth,(2021– ),"
Action, Adventure, Drama            ",7.9,"
A boy who is half human and half deer survives in a post-apocalyptic world with other hybrids.","37,142",,,2020-01-02 16:14:45.629804849,  Paramount Pictures,97.0,,"Stars:
Nonso Anozie, 
Christian Convery, 
Adeel Akhtar, 
Stefania LaVie Owen"
Army of the Dead,(2021),"
Action, Crime, Horror            ",5.8,"
Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble, venturing into the quarantine zone to pull off the greatest heist ever attempted.","132,378",148.0,,2020-01-02 16:40:26.966292134,	Warner Bros.  ,3.0,"Director:
Zack Snyder",
Fargo,(2014– ),"
Crime, Drama, Thriller            ",8.9,"
Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.","341,221",53.0,,2020-01-02 17:06:08.302779420,	Warner Bros.  ,147.0,,"Stars:
Billy Bob Thornton, 
Martin Freeman, 
Allison Tolman, 
Colin Hanks"
How I Met Your Mother,(2005–2014),"
Comedy, Romance            ",8.3,"
A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.","624,036",22.0,,2020-01-02 17:31:49.639266706,20th Century Fox	,15.0,,"Stars:
Josh Radnor, 
Jason Segel, 
Cobie Smulders, 
Neil Patrick Harris"
Community,(2009–2015),"
Comedy            ",8.5,"
A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.","231,013",22.0,,2020-01-02 17:57:30.975753991,   Walt Disney Pictures	,149.0,,"Stars:
Joel McHale, 
Danny Pudi, 
Donald Glover, 
Chevy Chase"
Sons of Anarchy,(2008–2014),"
Crime, Drama, Thriller            ",8.5,"
A biker struggles to balance being a father and being involved in an outlaw motorcycle club.","270,445",45.0,,2020-01-02 18:23:12.312241277,Relativity Media,73.0,,"Stars:
Charlie Hunnam, 
Katey Sagal, 
Mark Boone Junior, 
Kim Coates"
StartUp,(2016–2018),"
Crime, Thriller            ",7.9,"
A desperate banker, a Haitian-American gang lord and a Cuban-American hacker are forced to work together to unwittingly create their version of the American dream - organized crime 2.0.","22,971",44.0,,2020-01-02 18:48:53.648728563,  Columbia Pictures	,72.0,,"Stars:
Adam Brody, 
Edi Gathegi, 
Otmara Marrero, 
Kristen Ariza"
The Vampire Diaries,(2009–2017),"
Drama, Fantasy, Horror            ",7.7,"
The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers.","293,434",43.0,,2020-01-02 19:14:34.985215848,Marvel Studios,142.0,,"Stars:
Nina Dobrev, 
Paul Wesley, 
Ian Somerhalder, 
Kat Graham"
365 dni,(2020),"
Drama, Romance            ",3.3,"
Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him.","63,620",114.0,,2020-01-02 19:40:16.321703134,  Columbia Pictures	,125.0,"Directors:
Barbara Bialowas, 
Tomasz Mandes",
How to Sell Drugs Online (Fast),(2019– ),"
Comedy, Crime, Drama            ",7.9,"
To win back the love of his life, a high school student and his best friend launch Europe's largest online drug business from their teenage bedroom.","23,960",30.0,,2020-01-02 20:05:57.658190419,Marvel Studios,44.0,,"Stars:
Maximilian Mundt, 
Danilo Kamperidis, 
Lena Klenke, 
Damian Hardung"
Good Girls,(2018–2021),"
Comedy, Crime, Drama            ",7.8,"
Three suburban mothers suddenly find themselves in desperate circumstances and decide to stop playing it safe and risk everything to take their power back.","38,618",43.0,,2020-01-02 20:31:38.994677705,    RatPac-Dune Entertainment	,81.0,,"Stars:
Christina Hendricks, 
Retta, 
Mae Whitman, 
Reno Wilson"
13 Reasons Why,(2017–2020),"
Drama, Mystery, Thriller            ",7.6,"
Follows teenager Clay Jensen, in his quest to uncover the story behind his classmate and crush, Hannah, and her decision to end her life.","266,386",60.0,,2020-01-02 20:57:20.331164991,  Columbia Pictures	,105.0,,"Stars:
Dylan Minnette, 
Katherine Langford, 
Christian Navarro, 
Alisha Boe"
The Queen's Gambit,(2020),"
Drama            ",8.6,"
Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price.","336,801",395.0,,2020-01-02 21:23:01.667652276,   Walt Disney Pictures	,62.0,,"Stars:
Anya Taylor-Joy, 
Chloe Pirrie, 
Bill Camp, 
Marcin Dorocinski"
Legends of Tomorrow,(2016– ),"
Action, Adventure, Drama            ",6.8,"
Time-travelling rogue Rip Hunter has to recruit a rag-tag team of heroes and villains to help prevent an apocalypse that could impact not only Earth, but all of time.","95,897",42.0,,2020-01-02 21:48:43.004139562,	Warner Bros.  ,119.0,,"Stars:
Caity Lotz, 
Amy Louise Pemberton, 
Dominic Purcell, 
Nick Zano"
Star Trek: The Next Generation,(1987–1994),"
Action, Adventure, Mystery            ",8.6,"
Set almost 100 years after Captain Kirk's five-year mission, a new generation of Starfleet officers set off in the U.S.S. Enterprise-D on their own mission to go where no one has gone before.","106,181",44.0,,2020-01-02 22:14:24.340626848,	Warner Bros.  ,79.0,,"Stars:
Patrick Stewart, 
Brent Spiner, 
Jonathan Frakes, 
LeVar Burton"
Le dernier mercenaire,(2021),"
Action, Comedy            ",5.4,"
A mysterious former secret service agent must urgently return to France when his estranged son is falsely accused of arms and drug trafficking by the government, following a blunder by an overzealous bureaucrat and a mafia operation.","2,606",110.0,,2020-01-02 22:40:05.677114133,  Paramount Pictures,78.0,"Director:
David Charhon",
Resort to Love,(2021),"
Comedy, Romance            ",5.7,"
Erica, who ends up as the entertainment at her ex-fiancé's wedding after reluctantly taking a gig at a luxurious island resort while in the wake of a music career meltdown.","1,591",101.0,,2020-01-02 23:05:47.013601419,Relativity Media,42.0,"Director:
Steven K. Tsuchida",
Evil,(2019– ),"
Crime, Drama, Horror            ",7.7,"
A skeptical female clinical psychologist joins a priest-in-training and a blue-collar contractor as they investigate supposed miracles, demonic possession, and other extraordinary occurrences to see if there's a scientific explanation or if something truly supernatural is at work.","15,048",42.0,,2020-01-02 23:31:28.350088704,  Columbia Pictures	,67.0,,"Stars:
Katja Herbers, 
Mike Colter, 
Aasif Mandvi, 
Maddy Crocco"
The Expanse,(2015– ),"
Drama, Mystery, Sci-Fi            ",8.5,"
In the 24th century, a disparate band of antiheroes unravel a vast conspiracy that threatens the Solar System's fragile state of cold war.","119,644",60.0,,2020-01-02 23:57:09.686575990,Marvel Studios,140.0,,"Stars:
Wes Chatham, 
Dominique Tipper, 
Steven Strait, 
Shohreh Aghdashloo"
New Amsterdam,(2018– ),"
Drama            ",8.1,"
A new medical director breaks the rules to heal the system at America's oldest public hospital.","27,709",43.0,,2020-01-03 00:22:51.023063276,20th Century Fox	,53.0,,"Stars:
Ryan Eggold, 
Janet Montgomery, 
Freema Agyeman, 
Jocko Sims"
Line of Duty,(2012– ),"
Crime, Drama, Mystery            ",8.7,"
Drama series following the investigations of AC-12, a controversial police anti-corruption unit.","46,751",60.0,,2020-01-03 00:48:32.359550561,	Warner Bros.  ,102.0,,"Stars:
Martin Compston, 
Vicky McClure, 
Adrian Dunbar, 
Craig Parkinson"
The 100,(2014–2020),"
Drama, Mystery, Sci-Fi            ",7.6,"
Set ninety-seven years after a nuclear war has destroyed civilization, when a spaceship housing humanity's lone survivors sends one hundred juvenile delinquents back to Earth, in hopes of possibly re-populating the planet.","226,962",43.0,,2020-01-03 01:14:13.696037847,  Columbia Pictures	,21.0,,"Stars:
Eliza Taylor, 
Bob Morley, 
Marie Avgeropoulos, 
Isaiah Washington"
